n,value
0,12
1,4
2,4
3,4
4,4
5,4
6,4
7,12
8,4
9,8
10,8
11,4
12,8
13,4
14,12
15,4
16,8
17,8
18,4
19,8
20,4
21,12
22,4
23,8
24,12
25,4
26,4
27,8
28,8
29,8
30,8
31,4
32,8
33,4
34,0
35,8
36,4
37,0
38,4
39,4
40,8
41,4
42,4
43,4
44,0
45,0
46,4
47,4
48,4
49,8
50,4
51,12
52,4
53,4
54,8
55,4
56,0
