k,real,imag,mag,phase
133,0.510168,0.00549079,0.510197,0.0107623
134,0.472813,0.0273014,0.473601,0.0576784
135,0.485744,0.0730516,0.491207,0.149272
136,0.526609,0.0690789,0.53112,0.130432
137,0.518365,0.0331738,0.519425,0.0639098
138,0.47414,0.0456811,0.476335,0.0960488
139,0.477499,0.0982363,0.487499,0.2029
140,0.524937,0.104129,0.535165,0.195823
141,0.526671,0.061901,0.530296,0.116996
142,0.476165,0.0643337,0.480492,0.134295
143,0.469118,0.123149,0.485013,0.256719
144,0.522546,0.139807,0.540926,0.261427
145,0.535139,0.0918824,0.54297,0.17004
146,0.478935,0.0833782,0.486139,0.172363
147,0.460549,0.147915,0.483719,0.310766
148,0.519382,0.176347,0.548503,0.32732
149,0.543825,0.12336,0.557641,0.223063
150,0.482513,0.102944,0.493372,0.210198
151,0.451731,0.172659,0.483603,0.365083
152,0.515369,0.214007,0.558036,0.393584
153,0.552792,0.156616,0.57455,0.276082
154,0.486984,0.123175,0.50232,0.247739
155,0.442598,0.197504,0.484665,0.419721
156,0.510412,0.253077,0.569709,0.460306
157,0.56211,0.191983,0.593991,0.329118
158,0.49246,0.144235,0.513148,0.284918
159,0.433074,0.222575,0.486922,0.474739
160,0.504381,0.29389,0.583757,0.527583
161,0.571861,0.229861,0.616329,0.382188
162,0.499086,0.166313,0.526068,0.321663
163,0.423071,0.248003,0.490403,0.530208
164,0.497114,0.336834,0.600482,0.59552
165,0.582141,0.270735,0.642017,0.435313
166,0.507048,0.189633,0.541349,0.357889
167,0.412486,0.273928,0.495157,0.586216
168,0.488396,0.382373,0.620274,0.664236
169,0.593064,0.315202,0.671623,0.488514
170,0.516589,0.214464,0.559338,0.393502
171,0.40119,0.300499,0.501252,0.642873
172,0.477955,0.431069,0.643631,0.733866
173,0.60477,0.364009,0.705868,0.541813
174,0.528022,0.241135,0.580476,0.428392
175,0.38903,0.327884,0.508776,0.700314
176,0.465428,0.483618,0.6712,0.804562
177,0.617433,0.418104,0.745677,0.595235
178,0.54176,0.270056,0.605339,0.46243
179,0.37581,0.35627,0.517843,0.758713
180,0.45034,0.540896,0.703828,0.876502
181,0.631273,0.478709,0.792255,0.648807
182,0.558356,0.301753,0.634678,0.495466
183,0.361281,0.385872,0.528603,0.818299
184,0.432052,0.604031,0.742645,0.949888
185,0.646573,0.547437,0.847198,0.70256
186,0.578554,0.336905,0.669499,0.52732
187,0.345115,0.41694,0.541242,0.879372
188,0.40969,0.67451,0.789183,1.02496
189,0.663713,0.626456,0.912667,0.756529
190,0.603383,0.376422,0.711171,0.557774
191,0.326875,0.449773,0.556006,0.942338
192,0.382033,0.75434,0.845564,1.102
193,0.683204,0.718758,0.991655,0.810753
194,0.6343,0.421549,0.761603,0.586563
195,0.305955,0.484735,0.573215,1.00777
196,0.347332,0.846314,0.914815,1.18135
197,0.705766,0.828596,1.08843,0.86528
198,0.673424,0.474046,0.823541,0.613361
199,0.281492,0.522279,0.593306,1.07646
200,0.302997,0.954452,1.00139,1.2634
201,0.732446,0.962229,1.20928,0.920167
202,0.723951,0.536497,0.901075,0.63776
203,0.252204,0.562987,0.616896,1.14963
204,0.245041,1.08479,1.11212,1.34864
205,0.764832,1.12927,1.36389,0.975481
206,0.790913,0.612878,1.00058,0.659247
207,0.216097,0.607637,0.644919,1.22911
208,0.167028,1.24685,1.25798,1.43763
209,0.805468,1.34527,1.56797,1.0313
210,0.882674,0.709655,1.13257,0.677165
211,0.169867,0.657317,0.678911,1.3179
212,0.0578926,1.45668,1.45783,1.53107
213,0.858726,1.6372,1.84874,1.08773
214,1.01417,0.838168,1.3157,0.690665
215,0.107595,0.713674,0.721739,1.42116
216,-0.103022,1.74376,1.7468,1.62981
217,0.93284,2.05625,2.25795,1.1449
218,1.2148,1.02038,1.58648,0.698637
219,0.0174566,0.779477,0.779673,1.5484
220,-0.359002,2.16897,2.19848,1.73483
221,1.04547,2.71293,2.9074,1.20297
222,1.55109,1.30543,2.02732,0.69961
223,-0.128254,0.860273,0.869781,1.71879
224,-0.818022,2.88263,2.99645,1.8473
225,1.2429,3.89811,4.09146,1.26214
226,2.21135,1.83115,2.8711,0.691624
227,-0.413739,0.970921,1.0554,1.97362
228,-1.84337,4.38701,4.75856,1.96858
229,1.69856,6.70499,6.91679,1.32269
