n,value
0,1
1,-0.707107
2,3.06162e-16
3,0.707107
4,-1
5,0.707107
6,-2.69484e-15
7,-0.707107
8,1
9,-0.707107
10,-2.45548e-16
11,0.707107
12,-1
13,0.707107
14,-3.91949e-15
15,-0.707107
16,1
17,-0.707107
18,9.79098e-16
19,0.707107
20,-1
21,0.707107
22,1.96129e-15
23,-0.707107
24,1
25,-0.707107
26,9.30917e-15
27,0.707107
28,-1
29,0.707107
30,-6.36878e-15
31,-0.707107
