n,value
0,1
1,-0.707107
2,6.12323e-17
3,0.707107
4,-1
5,0.707107
6,-1.83697e-16
7,-0.707107
8,1
9,-0.707107
10,3.06162e-16
11,0.707107
12,-1
13,0.707107
14,-4.28626e-16
15,-0.707107
16,1
17,-0.707107
18,5.51091e-16
19,0.707107
20,-1
21,0.707107
22,-2.44991e-15
23,-0.707107
24,1
25,-0.707107
26,-9.80336e-16
27,0.707107
28,-1
29,0.707107
30,-2.69484e-15
31,-0.707107
