n,col0,col1,col2,col3,col4,col5,col6,col7
0,1.12543,0.759205,0.695109,0.790568,0.713027,0.745886,0.73521,0.825676
1,0.759205,1.13574,0.759192,0.79637,0.757867,0.808044,0.698308,0.867004
2,0.695109,0.759192,1.10443,0.73496,0.650495,0.710097,0.640422,0.817686
3,0.790568,0.79637,0.73496,1.13591,0.775317,0.755874,0.695474,0.898229
4,0.713027,0.757867,0.650495,0.775317,1.02635,0.703628,0.695586,0.781673
5,0.745886,0.808044,0.710097,0.755874,0.703628,1.12032,0.611338,0.830797
6,0.73521,0.698308,0.640422,0.695474,0.695586,0.611338,1.02596,0.722519
7,0.825676,0.867004,0.817686,0.898229,0.781673,0.830797,0.722519,1.25011
