n,col0,col1,col2,col3,col4,col5,col6,col7
0,0.353553,0.490393,0.46194,0.415735,0.353553,0.277785,0.191342,0.0975452
1,0.353553,0.415735,0.191342,-0.0975452,-0.353553,-0.490393,-0.46194,-0.277785
2,0.353553,0.277785,-0.191342,-0.490393,-0.353553,0.0975452,0.46194,0.415735
3,0.353553,0.0975452,-0.46194,-0.277785,0.353553,0.415735,-0.191342,-0.490393
4,0.353553,-0.0975452,-0.46194,0.277785,0.353553,-0.415735,-0.191342,0.490393
5,0.353553,-0.277785,-0.191342,0.490393,-0.353553,-0.0975452,0.46194,-0.415735
6,0.353553,-0.415735,0.191342,0.0975452,-0.353553,0.490393,-0.46194,0.277785
7,0.353553,-0.490393,0.46194,-0.415735,0.353553,-0.277785,0.191342,-0.0975452
