n,col0,col1,col2,col3,col4,col5,col6,col7
0,0.281548,0.350147,0.0545841,0.667566,-0.322326,0.103073,0.330583,0.354543
1,-0.0802247,0.564462,-0.521419,-0.43291,-0.194808,0.101044,-0.183193,0.365976
2,0.0728016,0.062306,0.331325,-0.0215423,-0.11361,-0.785794,-0.368142,0.33863
3,-0.591464,0.233265,0.253801,0.162938,0.595517,0.121265,0.0357138,0.366297
4,0.547193,-0.00935118,0.417458,-0.48908,0.232674,0.232024,0.254708,0.337897
5,-0.216196,-0.394651,0.254472,0.00925372,-0.45634,0.471197,-0.424859,0.349128
6,-0.340753,-0.39583,-0.176895,-0.200842,-0.235588,-0.265585,0.653055,0.321027
7,0.311274,-0.433551,-0.529749,0.245579,0.4156,-0.0243291,-0.220203,0.390378
